% Model:              Mismatch 1D e 2D - BH.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 8 2024, 17:43
% Table:              1D T and R alpha=0.2 - 1D T and R
% Mat index                                       freq (Hz)                                         point_in * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)    point_out * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)
1                                                 1.32                                              0.19035943098671665-0.38535236747338086i          0.8095350012198821+0.39989996365543024i
1                                                 1.33                                              0.17427593352926435-0.3519891501157029i           0.8241516343779753+0.408051008210749i
1                                                 1.34                                              0.1544675762380856-0.3142797013037098i            0.8406313345041145+0.41316696912058926i
1                                                 1.35                                              0.13156625448968387-0.2722436718643285i           0.8582276481829667+0.41475162221258083i
1                                                 1.36                                              0.1064651924482062-0.22608669208102172i           0.8760039805555193+0.41251287222738264i
1                                                 1.37                                              0.08024866566717126-0.17629058029381325i          0.8929033445910142+0.40645451448046643i
1                                                 1.3800000000000001                                0.05407110500658086-0.12367069901655642i          0.907867779678429+0.39693559308449616i
1                                                 1.3900000000000001                                0.029005974024451105-0.069371756497138i           0.9199871935937901+0.384668319055815i
1                                                 1.4000000000000001                                0.00590258614153831-0.014789159894593848i         0.9286395545412258+0.3706413435230589i
1                                                 1.4100000000000001                                -0.014707417133040412+0.03857042524351971i        0.9335807608901386+0.3559817487054334i
1                                                 1.42                                              -0.032628121071504916+0.0892519219040193i         0.9349583881428657+0.34179286670736997i
1                                                 1.43                                              -0.04794403889556743+0.13599354295243588i         0.9332513810700678+0.3290122136496719i
1                                                 1.44                                              -0.06091801987051254+0.17781534381259717i         0.9291621413266292+0.31832129321874025i
1                                                 1.45                                              -0.0718781851818704+0.21404562067785068i          0.9234966346131919+0.3101160522971681i
1                                                 1.46                                              -0.08112320278186537+0.24429634568579928i         0.9170615177835735+0.3045266226703174i
1                                                 1.47                                              -0.0888608367603155+0.26840845202196395i          0.9105927656717192+0.3014654516516907i
1                                                 1.48                                              -0.09518123268726719+0.28638711576405884i         0.9047166302783971+0.300683750414609i
1                                                 1.49                                              -0.10005838838791017+0.298341011166297i           0.8999355679542619+0.3018226258905198i
1                                                 1.5                                               -0.10337082311977919+0.3044326197515097i          0.8966291766810431+0.3044525783755154i
1                                                 1.51                                              -0.10493351493733352+0.30484167239460763i         0.8950611921784372+0.30810066646313655i
1                                                 1.52                                              -0.10453549959136679+0.29974127001887263i         0.8953861066372785+0.3122680132707744i
1                                                 1.53                                              -0.10197963214993469+0.2892856332477353i          0.8976517153743586+0.31644193758871664i
1                                                 1.54                                              -0.09712219607241564+0.273608926154136i           0.9017964049950979+0.3201075056981218i
1                                                 1.55                                              -0.08991011005378205+0.25283537175071125i         0.907642296835877+0.32276311813162895i
1                                                 1.56                                              -0.08041255740420343+0.22710121246578235i         0.9148875874336277+0.32394389458485595i
1                                                 1.57                                              -0.06884236701375951+0.1965883431878877i          0.9231035149612565+0.3232548287394803i
1                                                 1.58                                              -0.055561201968395105+0.16156722888549319i        0.9317428295855829+0.32041264237488254i
1                                                 1.59                                              -0.04106272526531601+0.12244308362363639i         0.9401664963946267+0.3152910459907766i
1                                                 1.6                                               -0.025930621508337755+0.07979520248510612i        0.9476925254145525+0.3079596368886023i
1                                                 1.61                                              -0.010774137356048055+0.034396802514256364i       0.9536648925661241+0.29870388315352026i
1                                                 1.62                                              0.0038485282866076945-0.012795864310051393i       0.9575327098648045+0.2880149002361992i
1                                                 1.6300000000000001                                0.017502218014317835-0.060689759219782105i        0.9589232516162376+0.27654424612059375i
1                                                 1.6400000000000001                                0.029924008154769144-0.10813096099461099i         0.9576909304982357+0.26502925434348906i
1                                                 1.6500000000000001                                0.04103696058064921-0.15399469551643763i          0.9539297893197775+0.25420422913351837i
1                                                 1.6600000000000001                                0.05092652876831691-0.1972694412950056i           0.9479477470016848+0.24471733783220107i
1                                                 1.6700000000000002                                0.05978879155976841-0.2371180272768838i           0.9402118633319131+0.23707007073461434i
1                                                 1.68                                              0.06786625148139187-0.2729071929042765i           0.9312803999969165+0.23158759080031416i
1                                                 1.69                                              0.07538704373600201-0.30420676786918627i          0.9217375111033936+0.22841861978923234i
1                                                 1.7                                               0.08251859089336368-0.33076644085757934i          0.9121415237045234+0.22755671548941736i
1                                                 1.71                                              0.08934026112274066-0.3524804579154403i           0.9029912178581607+0.22887245751550928i
1                                                 1.72                                              0.0958342308203115-0.3693493375520409i            0.894709070364571+0.23214737033882815i
1                                                 1.73                                              0.10189074826914636-0.3814446846367167i           0.8876373201809648+0.23710351218219827i
1                                                 1.74                                              0.10732319470039667-0.38888009583839156i          0.8820418052337744+0.2434258982595889i
1                                                 1.75                                              0.1118889383185667-0.3917888873004198i            0.878119023938944+0.25077741734070275i
1                                                 1.76                                              0.11531313774760954-0.39030815883247316i          0.8760029882885422+0.2588074456773932i
1                                                 1.77                                              0.11731378899922845-0.3845683639312319i           0.8757696341703699+0.2671561498275147i
1                                                 1.78                                              0.11762711530877425-0.3746877794612423i           0.8774376191217772+0.27545678953151875i
1                                                 1.79                                              0.11603275152428062-0.3607717708162662i           0.8809652623485675+0.28333841024139644i
1                                                 1.8                                               0.11237805477488093-0.34291727681081907i          0.8862442630105432+0.2904312491347432i
1                                                 1.81                                              0.10660032312784333-0.32122326157757586i          0.8930917702606717+0.2963769266391342i
1                                                 1.82                                              0.09874484351410757-0.2958077635089229i           0.9012433882295372+0.30084490312507717i
1                                                 1.83                                              0.08897576881735798-0.2668313965793308i           0.9103506348953619+0.30355554788525474i
1                                                 1.84                                              0.077576264410466-0.23452562120675657i            0.9199868816092904+0.3043083769309122i
1                                                 1.85                                              0.06493472356603161-0.1992219666632226i           0.9296653641567941+0.3030117119493638i
1                                                 1.86                                              0.05151562310426605-0.16137624615971938i          0.9388710046550345+0.29970776406150357i
1                                                 1.87                                              0.03781684941053611-0.12158065971157508i          0.9471044523261715+0.29458593474526107i
1                                                 1.8800000000000001                                0.024319373249995866-0.08055759388388722i         0.953932640695732+0.28797800362553466i
1                                                 1.8900000000000001                                0.011438500616900767-0.039132380392804804i        0.9590367574554943+0.2803323080023661i
1                                                 1.9000000000000001                                -5.13135147494455E-4+0.0018124379015270371i       0.9622475401113256+0.27216930053537475i
1                                                 1.9100000000000001                                -0.01134308128806976+0.04139354701980886i         0.9635601763494994+0.26402611388419084i
1                                                 1.9200000000000002                                -0.020974455041413778+0.07878322923209556i        0.9631261887790876+0.2564007658326109i
1                                                 1.93                                              -0.029422468748165627+0.11325539020814475i        0.9612255159214271+0.24970614912550004i
1                                                 1.94                                              -0.03675965327293896+0.14421457749375746i         0.9582262661068982+0.2442403850714294i
1                                                 1.95                                              -0.04307874400344926+0.17120626706233552i         0.9545409758351097+0.24017522553673043i
1                                                 1.96                                              -0.048460825257003765+0.19391101311525652i        0.9505867879558549+0.23755994395057167i
1                                                 1.97                                              -0.05295338718470621+0.21212753849718052i         0.9467539807978861+0.23633578001498434i
1                                                 1.98                                              -0.05655983240662235+0.2257503513331057i          0.9433841374342391+0.23635564156371253i
1                                                 1.99                                              -0.059239616966764844+0.23474661366306648i        0.9407569046079338+0.23740482124511292i
1                                                 2                                                 -0.06091691681492193+0.23913556938273292i         0.9390830796087575+0.23922014601087987i
1                                                 2.01                                              -0.06149529945955181+0.23897248468256047i         0.9385015453219374+0.24150660595039342i
1                                                 2.02                                              -0.0608759784744089+0.23433806742494256i          0.9390780255459278+0.243951761972943i
1                                                 2.03                                              -0.058977481116764006+0.22533374106406096i        0.9408044426377988+0.2462390006230784i
1                                                 2.04                                              -0.05575473206183157+0.21208281588854488i         0.9435986046322502+0.2480609983582543i
1                                                 2.05                                              -0.05121556245569908+0.1947373204671676i          0.9473048811317764+0.2491346108578732i
1                                                 2.0599999999999996                                -0.045432547814896196+0.17348983131309595i        0.9516973179823403+0.24921783702491696i
1                                                 2.07                                              -0.0385480374813494+0.14858894160240518i          0.9564871288414107+0.24812855329433622i
1                                                 2.0799999999999996                                -0.030770520802662675+0.12035604896106948i        0.961336480299007+0.2457634764757587i
1                                                 2.09                                              -0.02236133619830518+0.08920011999629533i         0.9658797574454189+0.242114543269835i
1                                                 2.0999999999999996                                -0.013612282018750864+0.05562640685709046i        0.9697519929833605+0.23727901161706133i
1                                                 2.11                                              -0.004816748803099636+0.020235245786837205i       0.9726220837241708+0.23145959175229078i
1                                                 2.1199999999999997                                0.003760990684443545-0.016291581061005637i        0.9742263784499718+0.22495215680854258i
1                                                 2.13                                              0.011912516246072334-0.05321695134958593i         0.9743970064034784+0.21812099556014652i
1                                                 2.1399999999999997                                0.01950253792181135-0.08978400692682721i          0.9730796143253228+0.2113645205103153i
1                                                 2.15                                              0.026473240008079067-0.125255799293378i           0.9703371489106831+0.2050768035875319i
1                                                 2.1599999999999997                                0.03283531954439835-0.1589524945585866i           0.966339391041046+0.1996113209259895i
1                                                 2.17                                              0.0386484715507997-0.19028047633750525i           0.9613410380123575+0.1952524651462677i
1                                                 2.1799999999999997                                0.04399615832456352-0.21874995552711654i          0.9556531806585465+0.1921981207189256i
1                                                 2.19                                              0.04896001090573661-0.24398049207988076i          0.9496134977827687+0.1905538206048702i
1                                                 2.1999999999999997                                0.05359829922025226-0.265696197932332i            0.9435595422788072+0.1903366702163113i
1                                                 2.21                                              0.05793119600582455-0.2837137486971709i           0.9378077454863261+0.19148591474962057i
1                                                 2.2199999999999998                                0.06193375775361326-0.29792661986596997i          0.9326389314252557+0.1938768073897978i
1                                                 2.23                                              0.06553615001179533-0.3082884810148502i           0.9282897138716163+0.19733501401453485i
1                                                 2.2399999999999998                                0.06862983896244511-0.3147978494038883i           0.924948342852395+0.20164974856019838i
1                                                 2.25                                              0.07107819279596342-0.31748527234022533i          0.9227533272978721+0.20658482319749985i
1                                                 2.26                                              0.07272999959574424-0.3164036743331622i           0.9217933260382548+0.21188761378095775i
1                                                 2.27                                              0.0734346131524537-0.3116221249418256i            0.922107199115749+0.21729650934602168i
1                                                 2.28                                              0.07305762922917575-0.30322311278959i             0.9236836189790413+0.22254773777370718i
1                                                 2.29                                              0.07149608175104825-0.29130335624927484i          0.9264601819675277+0.22738256534369677i
1                                                 2.3                                               0.06869210473744507-0.27597813042823277i          0.9303224918743549+0.2315557727232116i
1                                                 2.31                                              0.06464386472444546-0.25738893759808545i          0.9351041679447466+0.2348460109207393i
1                                                 2.32                                              0.05941241937944329-0.23571401535121458i          0.9405890921018277+0.2370681280988834i
1                                                 2.3299999999999996                                0.05312313819690905-0.21118063974109913i          0.9465173489843512+0.2380868476855952i
1                                                 2.34                                              0.04596058928708301-0.18407750385365784i          0.9525960989857744+0.23783035300980698i
1                                                 2.3499999999999996                                0.03815647716229112-0.15476481092319436i          0.9585159581727798+0.2363015747178146i
1                                                 2.36                                              0.029971320808957577-0.12367938543339702i         0.9639723462086854+0.23358455352336885i
1                                                 2.3699999999999997                                0.021671912825506033-0.09133236065632852i         0.968689891863163+0.22984344333601558i
1                                                 2.38                                              0.01350782588916477-0.05829800770802103i          0.9724467351897184+0.22531268464769194i
