% Model:              Mismatch 1D e 2D - BH.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 8 2024, 17:42
% Table:              1D T and R alpha=0.1 - 1D T and R
% Mat index                                       freq (Hz)                                         point_in * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)    point_out * exp(2j*pi*freq /c0 * (3 [m] )) (Pa)
1                                                 0.33                                              0.8484792936773407+0.5252481528346198i            -0.03410053902299877+0.055085584023337915i
1                                                 0.34                                              0.7895512112293028+0.6095167134547135i            -0.04363215501642745+0.056519895327788706i
1                                                 0.35000000000000003                               0.7234304013447864+0.6857998348284193i            -0.054723777566529214+0.057726529492078155i
1                                                 0.36000000000000004                               0.6516017342195949+0.7532393072471961i            -0.06783750387486939+0.058683919968682434i
1                                                 0.37                                              0.5758539296770623+0.8110908182849095i            -0.0836480874512553+0.059388022749882044i
1                                                 0.38                                              0.4983996096274672+0.8586998462349511i            -0.10317946938318809+0.05988659210008375i
1                                                 0.39                                              0.422110832623951+0.8954213296653638i             -0.12805787507030045+0.06036780087484005i
1                                                 0.4                                               0.35099762052740624+0.9203839453801376i           -0.16100876811561105+0.06140230407429197i
1                                                 0.41000000000000003                               0.29122315126418935+0.9317745552357604i           -0.20689111347109726+0.06466315511587349i
1                                                 0.42000000000000004                               0.2533108332515203+0.9244323830700085i            -0.27492394607122483+0.07533402761263124i
1                                                 0.43                                              0.25629185219563755+0.8805222933311113i           -0.38285362450663163+0.11143643544154636i
1                                                 0.44                                              0.322511470408248+0.7293824025132791i             -0.5517798548807705+0.24398084357142916i
1                                                 0.45                                              0.2926246903552919+0.2691567903166656i            -0.6211709255938946+0.6753310981285815i
1                                                 0.46                                              -0.33909867057533344-0.03048442616206981i         -0.08418806361552622+0.9364801988070058i
1                                                 0.47000000000000003                               -0.7001646307620955+0.1992844929743481i           0.18768631463305585+0.6594156726302535i
1                                                 0.48000000000000004                               -0.792087687052662+0.32765631202669937i           0.19686275396630876+0.4759028194746755i
1                                                 0.49                                              -0.8351829710767114+0.3567257223996686i           0.1644187870189321+0.3849449649730066i
1                                                 0.5                                               -0.8692426115890386+0.3371326114958867i           0.13075738840102513+0.3371370490502037i
1                                                 0.51                                              -0.8988846493528438+0.29194653065761716i          0.10093795711069604+0.31078149905393293i
1                                                 0.52                                              -0.9234096217230493+0.23208120459125364i          0.07451460370818089+0.2964802884075751i
1                                                 0.53                                              -0.9416416941150765+0.16360418745236033i          0.050358259108219894+0.28984244060715114i
1                                                 0.54                                              -0.9527254932273903+0.09052179278369932i          0.02743363339115598+0.2887340351220121i
1                                                 0.55                                              -0.9562142910834092+0.0159291380750069i           0.004867511226807286+0.2921931043864332i
1                                                 0.56                                              -0.9520374112318077-0.05744010131313465i          -0.0180999408923843+0.29999634755568705i
1                                                 0.5700000000000001                                -0.9404516492234326-0.12687753669453303i          -0.042163825511815925+0.3125300224674094i
1                                                 0.5800000000000001                                -0.9219767870366562-0.18939853385492228i          -0.06796716975067164+0.330858704923299i
1                                                 0.59                                              -0.8972634845786521-0.24134680482418341i          -0.09602618668729582+0.35699993125808194i
1                                                 0.6                                               -0.8667406720395797-0.2777537256108238i           -0.12642096078828333+0.39450124960626937i
1                                                 0.61                                              -0.829593441242882-0.2912534937382878i            -0.1578075033432398+0.4494918617470206i
1                                                 0.62                                              -0.7807377299957682-0.27054190938658307i          -0.1844209200398823+0.5322072983076265i
1                                                 0.63                                              -0.7022318392686469-0.20044910197241717i          -0.18751196708539578+0.6569093297202071i
1                                                 0.64                                              -0.5450406208283696-0.07723686813675415i          -0.1171342328783031+0.8265862052200001i
1                                                 0.65                                              -0.23729415709071028+0.024460006319227283i        0.09957538576534761+0.9660113496729053i
1                                                 0.66                                              0.14946623833643677-0.06473577757649136i          0.39212959662743735+0.9053747887269347i
1                                                 0.67                                              0.3885564993884656-0.3028088930102719i            0.5349385603468348+0.6864192419758971i
1                                                 0.68                                              0.4754298364215452-0.498876999102677i             0.5245696427609199+0.49991491339539057i
1                                                 0.6900000000000001                                0.5117088071355388-0.6094947490962774i            0.46375955945207525+0.38935502396210053i
1                                                 0.7000000000000001                                0.5437519984507179-0.6601860457021057i            0.3999615399387399+0.32942210846132974i
1                                                 0.7100000000000001                                0.5819053388600668-0.6738831815480864i            0.3445776279992654+0.29754646028206855i
1                                                 0.72                                              0.6257569541628053-0.6636689694848984i            0.2981951508960826+0.28116077968666386i
1                                                 0.73                                              0.6726804773874457-0.6367317972147994i            0.2591124029380626+0.2737413976049177i
1                                                 0.74                                              0.7200374604290116-0.5973063758804602i            0.2255243404282015+0.2718637847879165i
1                                                 0.75                                              0.7656286148607955-0.5481871286335932i            0.19595819196428435+0.2736861032438984i
1                                                 0.76                                              0.8077152305307262-0.49146729360413555i           0.1692805687824849+0.27820873629814724i
1                                                 0.77                                              0.8449563015796604-0.42890550705111463i           0.14462197093990095+0.2849094856942309i
1                                                 0.78                                              0.8763447505864859-0.3621148291996909i            0.121302719631762+0.29356158592394854i
1                                                 0.79                                              0.9011576851907391-0.2926665790593713i            0.09877644968216144+0.30414527916840767i
1                                                 0.8                                               0.9189185669303217-0.222154638998586i             0.07659137635340958+0.3168119233499563i
1                                                 0.81                                              0.9293651091723788-0.15224512315982164i           0.05436778492466049+0.33188269179679i
1                                                 0.8200000000000001                                0.9324147464998843-0.0847276132316736i            0.03179289770090472+0.34987605346141487i
1                                                 0.8300000000000001                                0.9281156137736737-0.021581411395786766i          0.008640000845885178+0.37156570596733457i
1                                                 0.8400000000000001                                0.9165617715087133+0.03492977336217366i           -0.015170484524743517+0.39807582020525717i
1                                                 0.85                                              0.8977311868539695+0.08212239978293007i           -0.03942889842415928+0.4310221044758877i
1                                                 0.86                                              0.8711628363151912+0.1167172137484731i            -0.063331155708689+0.47269611819813817i
1                                                 0.87                                              0.8353085332797933+0.1346807788210284i            -0.08484710529322545+0.5262335420577073i
1                                                 0.88                                              0.7862744228077031+0.13134601185243805i           -0.09947801836381609+0.5955038918926625i
1                                                 0.89                                              0.7156601468961975+0.10267413288177757i           -0.09811158262316105+0.6838586631226655i
1                                                 0.9                                               0.6081779010220452+0.04980139197851116i           -0.06465680682471173+0.7895941462503581i
1                                                 0.91                                              0.4441588161946376-0.01062932099828634i           0.021433687629458797+0.8956285574147739i
1                                                 0.92                                              0.21880347678355594-0.03777904436974272i          0.16589724551827734+0.9608204086905358i
1                                                 0.93                                              -0.028646716444657487+0.0100357452026061i         0.33047407941957263+0.9433268447887968i
1                                                 0.9400000000000001                                -0.23396565660070878+0.12413487379311136i         0.45194806500278+0.8518178078431409i
1                                                 0.9500000000000001                                -0.37024242300332644+0.2531224019263956i          0.504432091063026+0.7378332414916196i
1                                                 0.9600000000000001                                -0.4539320172373542+0.3582063720894851i           0.5054055046260293+0.6404679631837747i
1                                                 0.97                                              -0.5095313282883083+0.42893867427354143i          0.48037869132283056+0.5706362718244138i
1                                                 0.98                                              -0.5525602923357951+0.4691030090785036i           0.4458656738662844+0.5251888077179594i
1                                                 0.99                                              -0.5900516804090159+0.48553831516393625i          0.40986948570885706+0.49809492574773157i
1                                                 1                                                 -0.6243336128584996+0.48428934975252325i          0.37566638708862693+0.4842996295507635i
1                                                 1.01                                              -0.6555800185937634+0.4700301172899476i           0.34436714416493314+0.48031012465957595i
1                                                 1.02                                              -0.6830817525342334+0.4463579534038742i           0.3162127575115333+0.48391469444364366i
1                                                 1.03                                              -0.7058036479787656+0.41617228994194166i          0.2911772784730601+0.4938195013364225i
1                                                 1.04                                              -0.7225940887213402+0.38196366741929705i          0.2692559243825859+0.5093749975179103i
1                                                 1.05                                              -0.732221919470898+0.346003569172709i             0.2506314383444552+0.5303928726539788i
1                                                 1.06                                              -0.7333104205393443+0.31045024962108536i          0.23581555262006387+0.5570167303475785i
1                                                 1.07                                              -0.7241867051272499+0.27736913444312206i          0.22582048209202832+0.5895975203622575i
1                                                 1.08                                              -0.7026446211171709+0.24862931483195322i          0.22239423819378157+0.6285021377824084i
1                                                 1.09                                              -0.6656342428801079+0.22557556256181896i          0.2283203821608475+0.6737333502746365i
1                                                 1.1                                               -0.6089863608255817+0.20828752165233033i          0.2476795627237396+0.7241593837015861i
1                                                 1.11                                              -0.5275609644995587+0.1941942848217014i           0.28568613330891013+0.7761130369994869i
1                                                 1.12                                              -0.4167609803085267+0.17613199649517158i          0.3471593998622326+0.8214427026784541i
1                                                 1.1300000000000001                                -0.27669383340900855+0.1413220679984534i          0.4323471424886072+0.8464895045434574i
1                                                 1.1400000000000001                                -0.11823313676331991+0.07509329338435082i         0.5308491094617441+0.8358116439682197i
1                                                 1.1500000000000001                                0.03580587518420216-0.028374058424855762i         0.620426825187967+0.7829325787270266i
1                                                 1.1600000000000001                                0.1619578554524964-0.1570883762528306i            0.6782803865471442+0.6993058655271773i
1                                                 1.17                                              0.25117567323270795-0.2875766905642892i           0.6961021680901898+0.6079903961220393i
1                                                 1.18                                              0.31028119662131426-0.4003477907646274i           0.6815131809623355+0.5281923273837227i
1                                                 1.19                                              0.35186638845921425-0.48716262264286986i          0.6479501291752766+0.46799930651060107i
1                                                 1.2                                               0.38614652681094724-0.5482129475041022i           0.6065052421961714+0.42720588522543196i
1                                                 1.21                                              0.41890366200211915-0.5871596164844944i           0.563857362189347+0.4022787475529146i
1                                                 1.22                                              0.45249508875199207-0.6081575688236791i           0.5232695577753862+0.38933470436905293i
1                                                 1.23                                              0.4872836214260776-0.6147799682386978i            0.4860107184232546+0.3852191666678987i
1                                                 1.24                                              0.5226444198847066-0.6098631490488219i            0.45235678826787473+0.3876635858593789i
1                                                 1.25                                              0.5575335890489236-0.5956520298936276i            0.4221581301174235+0.395142340859871i
1                                                 1.26                                              0.5907745135535233-0.5739897876704344i            0.39513077162803245+0.40668528379638247i
1                                                 1.27                                              0.6211879703490553-0.546474278821659i             0.3710001315961479+0.4217231099218033i
1                                                 1.28                                              0.6476396346481895-0.5145694071101613i            0.34957449386555395+0.43997622717744483i
1                                                 1.29                                              0.6690421334708451-0.4796776520990464i            0.33079054295337507+0.4613781878363643i
1                                                 1.3                                               0.6843278879695625-0.443181002858305i             0.3147542499845768+0.4860205697481951i
1                                                 1.31                                              0.692397783204205-0.4064527466342942i             0.3017910465188432+0.514105006183452i
1                                                 1.32                                              0.6920454672052203-0.37083472334202383i           0.2925142993658698+0.5458849501527178i
1                                                 1.33                                              0.6818573569803449-0.3375632974727279i            0.2879159210753961+0.581572233742331i
1                                                 1.34                                              0.6600980319547758-0.3076113965569733i            0.28947103648615097+0.6211702963335162i
1                                                 1.35                                              0.6246197456273814-0.2813960070068049i            0.2992185230249763+0.6641798199873659i
1                                                 1.36                                              0.5729003266727803-0.25829692007047916i           0.31971325495763736+0.7091201095000379i
1                                                 1.37                                              0.502426167744046-0.23599509515443445i            0.35363329502952145+0.7528729115454136i
1                                                 1.3800000000000001                                0.4117388557832174-0.20987104512842342i           0.40272339516503697+0.7900879182707272i
1                                                 1.3900000000000001                                0.30230080742886317-0.17316871457406194i          0.46591939202567695+0.8133546077846753i
1                                                 1.4000000000000001                                0.18047278351898333-0.11896601074558102i          0.5373606327903868+0.8151809921463458i
1                                                 1.4100000000000001                                0.05755174427319515-0.044066571024025565i         0.6063420504512377+0.7918934238626578i
1                                                 1.42                                              -0.053889787378138376+0.047685562525215386i       0.660964880291456+0.7469588056041508i
1                                                 1.43                                              -0.14551871462530783+0.14625674759387752i         0.6936421225527337+0.6901405613244709i
1                                                 1.44                                              -0.21597011774925262+0.24025660492115095i         0.7038185024687136+0.6326715718210558i
1                                                 1.45                                              -0.26907603249082357+0.3214664003966092i          0.6961916473419811+0.5827304025728378i
1                                                 1.46                                              -0.31030367855804747+0.38616937858953465i         0.6771444952215631+0.5441141399611432i
1                                                 1.47                                              -0.34427031207704284+0.4340603731897006i          0.6522568702999614+0.5173301548999476i
1                                                 1.48                                              -0.3739196293826707+0.46662685938003334i          0.625482121599388+0.5012140662374309i
1                                                 1.49                                              -0.4006684619916457+0.4859889683188378i           0.599298778466524+0.49408544785244457i
1                                                 1.5                                               -0.4248425339866896+0.4943044824584833i           0.5751574655869837+0.4943336825576072i
1                                                 1.51                                              -0.44607571521462824+0.49354077861987383i         0.5538991779646346+0.5006293453900325i
1                                                 1.52                                              -0.4635872482171225+0.48542336067536157i          0.5360610031470037+0.5119470823651173i
1                                                 1.53                                              -0.4763470904717763+0.47144552747489404i          0.5220802978085329+0.5275083172994062i
1                                                 1.54                                              -0.4831618908590338+0.4528803617663306i           0.5124283636892526+0.5466914360929556i
1                                                 1.55                                              -0.482712950314112+0.430765675606811i             0.5076977882863313+0.568922261397246i
1                                                 1.56                                              -0.47357492130353196+0.4058445871197088i          0.5086527997028424+0.5935400071540244i
1                                                 1.57                                              -0.45424845532735214+0.3784496836851185i          0.5162330707739315+0.6196272929502591i
1                                                 1.58                                              -0.4232544926701557+0.3483280942810132i           0.5314772197184552+0.6457982739476739i
1                                                 1.59                                              -0.37935940876066737+0.3144329785454238i          0.5553047841621688+0.6699664580810315i
1                                                 1.6                                               -0.3220098000701088+0.274772519350163i            0.588082391414976+0.6891798072645893i
1                                                 1.61                                              -0.25200184657514446+0.22651447874008496i         0.6289517061118698+0.6997184004547365i
1                                                 1.62                                              -0.17221589397639736+0.16662634114802957i         0.6750899184547415+0.6977325649509093i
1                                                 1.6300000000000001                                -0.08791701361393947+0.09319238672596589i         0.7214028124245099+0.6805612382850307i
1                                                 1.6400000000000001                                -0.005959598469821023+0.0069978848919447795i      0.7613128296020237+0.6483195775444013i
1                                                 1.6500000000000001                                0.06722818588104325-0.08769499470774317i          0.788766622752781+0.6046795396564861i
1                                                 1.6600000000000001                                0.12785703085246647-0.18409002165015148i          0.80043927937102+0.555932308011551i
1                                                 1.6700000000000002                                0.17568731318100453-0.27510553592812853i          0.7966365639419694+0.5087450220320637i
1                                                 1.68                                              0.21318656706773614-0.3554233557838862i           0.7804438735746775+0.46811692991077425i
1                                                 1.69                                              0.24385457528375082-0.4222647618710769i           0.7560431733916647+0.4366078381918617i
1                                                 1.7                                               0.2708494607117574-0.47501357950656414i           0.7273316438099117+0.41471854185321066i
1                                                 1.71                                              0.2963518730405559-0.5143957552514666i            0.6972795605876038+0.401713536736247i
1                                                 1.72                                              0.3215057323273162-0.5417540788805124i            0.6678663863076824+0.39634700418838065i
1                                                 1.73                                              0.3466244373219685-0.5585940027535645i            0.640284601502114+0.39731563011785226i
1                                                 1.74                                              0.3714473843610761-0.5663640944808017i            0.6151968483573933+0.4034740079998385i
1                                                 1.75                                              0.3953532243916878-0.5663803683828839i            0.5929536277962217+0.41390228500259446i
1                                                 1.76                                              0.41750887356361166-0.5598200019768497i           0.5737513887703952+0.42789884475948947i
1                                                 1.77                                              0.4369625252541585-0.5477388351686614i            0.5577398990265309+0.44494100425105254i
1                                                 1.78                                              0.45269573921503603-0.5310884918462002i           0.5450940109600118+0.4646339093500994i
1                                                 1.79                                              0.46364850966785076-0.5107208968710792i           0.536062309775349+0.48665403695067616i
1                                                 1.8                                               0.4687289947406034-0.4873732761354817i            0.5309998658480494+0.5106861801502304i
1                                                 1.81                                              0.46681920631676427-0.46162856918267026i          0.5303861204188955+0.5363490088065063i
1                                                 1.82                                              0.45679065114208117-0.4338473144947419i           0.534821538104738+0.5631033806787926i
1                                                 1.83                                              0.43755010075087114-0.40407062619315876i          0.5449874090042481+0.5901406872559438i
1                                                 1.84                                              0.4081441303241077-0.3719043491521954i            0.5615428265138985+0.6162591625000969i
1                                                 1.85                                              0.3679561430427197-0.3364175177580051i            0.5849266591679559+0.6397594832177059i
1                                                 1.86                                              0.31701689865140736-0.29612640965836023i          0.6150443757246544+0.6584295248991732i
1                                                 1.87                                              0.25639556428674154-0.2491755803465385i           0.6508732137306614+0.6697285453001336i
1                                                 1.8800000000000001                                0.18852876049698614-0.1938222441418706i           0.6901285286032152+0.6712762942709496i
1                                                 1.8900000000000001                                0.11722549783061052-0.12920636191616036i          0.7292536407786265+0.6616287280707551i
1                                                 1.9000000000000001                                0.04710153386665782-0.05613235354379448i          0.7639798266366434+0.6410656976100056i
1                                                 1.9100000000000001                                -0.017511416951764874+0.022619280459178742i       0.7904111942656425+0.6119084381617189i
1                                                 1.9200000000000002                                -0.07370003610288549+0.10278476545392713i         0.8061530514248573+0.5780321223441255i
1                                                 1.93                                              -0.12052551115305565+0.17972792131820553i         0.8108621826304238+0.5437594648341595i
1                                                 1.94                                              -0.1587645166190464+0.2495603684711627i           0.8059824062212113+0.512743715374733i
1                                                 1.95                                              -0.19013649544948663+0.30975562483396485i         0.7939671327810682+0.4873560484417321i
1                                                 1.96                                              -0.21650853415462276+0.35917403718389435i         0.7774805322181512+0.46865986867238807i
1                                                 1.97                                              -0.23937931851444294+0.3977349041135124i          0.7588791060839326+0.45673497317527156i
1                                                 1.98                                              -0.2596770893091358+0.4260084256402016i           0.7400088327799876+0.4510779846033069i
1                                                 1.99                                              -0.2777677247096793+0.4448826744033987i           0.7222140903928241+0.45092255152202004i
1                                                 2                                                 -0.293557438897456+0.45534481358562257i           0.706442556732989+0.4554382996351642i
1                                                 2.01                                              -0.3066150530136771+0.4583561299094583i           0.6933700390186454+0.4638265749835162i
1                                                 2.02                                              -0.31627986385162865+0.45478532253921305i         0.6835089653485562+0.4753455129939367i
1                                                 2.03                                              -0.32174723711100606+0.4453695349497438i          0.6772881788376365+0.4892914967178304i
1                                                 2.04                                              -0.3221373153466074+0.43068258814218807i          0.67510145683967+0.5049544621829629i
1                                                 2.05                                              -0.31655844614747014+0.4110992197738014i          0.6773233684218829+0.5215574935050675i
1                                                 2.0599999999999996                                -0.3041801849835019+0.3867526862186943i           0.6842881865171828+0.5381889504673252i
1                                                 2.07                                              -0.2843322069321811+0.3574928278325784i           0.6962240637917545+0.5537389199120651i
1                                                 2.0799999999999996                                -0.25664317101987477+0.32286469766743214i         0.7131346225693956+0.5668615448739753i
1                                                 2.09                                              -0.22122213509283356+0.2821437339748477i          0.7346295963860647+0.5759991324455249i
1                                                 2.0999999999999996                                -0.17885744994436972+0.23447522135624166i         0.7597323948760712+0.5795150777625881i
1                                                 2.11                                              -0.13116286754388534+0.17915586900272532i         0.7867366759205031+0.5759725427930352i
1                                                 2.1199999999999997                                -0.08055711995003115+0.11604066878908682i         0.8132268443382816+0.5645411808178863i
1                                                 2.13                                              -0.029970464490137114+0.04595674436441281i        0.8363697500735758+0.5454128397588801i
1                                                 2.1399999999999997                                0.01772073950180527-0.02908490542322152i          0.8534770392693054+0.5200164806100173i
1                                                 2.15                                              0.06034947151549902-0.10606236442055712i          0.862656578972741+0.4908491501761033i
1                                                 2.1599999999999997                                0.0969081074870702-0.1814941066611988i            0.8632578453453338+0.4609288774262603i
1                                                 2.17                                              0.12758598807447755-0.25213407988301695i          0.8559044207323261+0.43310364467697376i
1                                                 2.1799999999999997                                0.15342675206410805-0.3155068958514305i           0.8421460920858197+0.4095197163877823i
1                                                 2.19                                              0.17582478501901086-0.3701173035975789i           0.8239501395517486+0.39141477314401824i
1                                                 2.1999999999999997                                0.19608799533536253-0.41536717009315416i          0.8032592714956663+0.3792022310431321i
1                                                 2.21                                              0.21517827829523156-0.4513205232814015i           0.7817278107214246+0.3727057428509399i
1                                                 2.2199999999999998                                0.23362443097828606-0.47844889939449414i          0.760631120225489+0.37141109440925313i
1                                                 2.23                                              0.2515475306762063-0.49742857534583923i           0.7408884485095534+0.3746632228478718i
1                                                 2.2399999999999998                                0.2687373036344856-0.5090066443852447i            0.7231377579734638+0.38179049586770336i
1                                                 2.25                                              0.284738548499339-0.5139240440043452i             0.7078213809952326+0.39216696491289277i
1                                                 2.26                                              0.2989276911483947-0.5128755175440595i            0.695261895755784+0.4052311049322179i
1                                                 2.27                                              0.3105736413182275-0.5064885948494279i            0.6857209129377205+0.420477125998928i
1                                                 2.28                                              0.31888467328721004-0.4953087414933333i           0.6794397302200396+0.43742970238223194i
1                                                 2.29                                              0.3230466062962892-0.47978266143068676i           0.676662410999022+0.45560841026524473i
1                                                 2.3                                               0.3222593126337367-0.4602357192820882i            0.6776408777847128+0.4744855034285509i
1                                                 2.31                                              0.31577973791291614-0.4368431611736783i           0.68261950727563+0.49344026639812083i
1                                                 2.32                                              0.3029803240966506-0.40959928881669616i           0.6917946414979322+0.5117153618021378i
1                                                 2.3299999999999996                                0.2834309612160147-0.37829492688767563i           0.7052439460671274+0.5283855985016765i
1                                                 2.34                                              0.2570080207327083-0.3425214579242689i            0.7228241479643516+0.542356946373632i
1                                                 2.3499999999999996                                0.224022392070651-0.30172701623448045i            0.7440466200742124+0.5524207458558579i
1                                                 2.36                                              0.18533782441747487-0.2553506005554913i           0.7679604251095904+0.5573881997321359i
1                                                 2.3699999999999997                                0.14242576153311873-0.20304255505673435i          0.7930972355636942+0.5563129674307369i
